npsn,nama_smk,status,akreditasi,alamat,kab_kota,kecamatan,telp,fax
20319278,SMKS MUHAMMADIYAH SAYUNG DEMAK,Swasta,,JL. RAYA SAYUNG NO. 11 RT 0 RW 0 Purwosari Kode Pos 59563,Kab. Demak,Kec. Sayung,246583657,246583657
20319293,SMKS GANESA,Swasta,,"Jl. Raya Gajah-Dempet No.20 Km. 0,3  RT 5 RW 1 Gajah Kode Pos 59581",Kab. Demak,Kec. Gajah,2914284061,2914284061
20319294,SMKS FUTUHIYYAH MRANGGEN,Swasta,,JL. SUBURAN BARAT RT 5 RW 2 Mranggen Kode Pos 59567,Kab. Demak,Kec. Mranggen,246773285,246773287
20319295,SMKS PATI UNUS,Swasta,,"JL. RAYA KARANGAWEN KM 19,5 RT 1 RW 8 Karangawen Kode Pos 59566",Kab. Demak,Kec. Karangawen,246773386,
20319296,SMKN 1 DEMAK,Negeri,,JL. SULTAN TRENGGONO NO. 87 RT 1 RW 3 Katonsari Kode Pos 59516,Kab. Demak,Kec. Demak,291685519,291685519
20319297,SMKS BHAKTI NUSANTARA MRANGGEN,Swasta,,JL. RAYUNG KUSUMAN IV MRANGGEN RT 8 RW 5 Mranggen Kode Pos 59567,Kab. Demak,Kec. Mranggen,246773238,246773238
20319334,SMKN 2 DEMAK,Negeri,,JL. SULTAN HADIWIJAYA RT 0 RW 0 Mangunjiwan Kode Pos 59515,Kab. Demak,Kec. Demak,291682104,291682104
20319375,SMKS PERIKANAN NUSANTARA DEMAK,Swasta,,JL. ANGSA NO. 11 RT 4 RW 2 Kalicilik Kode Pos 59514,Kab. Demak,Kec. Demak,291682094,291682094
20319390,SMKS SUNAN KALIJAGA DEMAK,Swasta,,JL. SULTAN TRENGGONO NO.77 RT 0 RW 0 Katonsari Kode Pos 59516,Kab. Demak,Kec. Demak,291682270,291682270
20320233,SMK WIDYA PRAJA UNGARAN,Swasta,,JL. JEND. GATOT SUBROTO 63 UNGARAN KAB. SEMARANG RT 7 RW 1 Bandarjo Kode Pos 50517,Kab. Semarang,Kec. Ungaran Barat,246923124,246923124
20320235,SMK TARUNATAMA GETASAN,Swasta,,Jl. P. Diponegoro KM 4 KEC. GETASAN KAB. SEMARANG RT 1 RW 1 Getasan Kode Pos 50774,Kab. Semarang,Kec. Getasan,298318043,298318043
20320236,SMK PERINTIS 29 UNGARAN,Swasta,,"JL. WIJAYAKUSUMA, LANGENSARI BABADAN, UNGARAN KAB. SEMARANG RT 0 RW 0 Langensari Kode Pos 50518",Kab. Semarang,Kec. Ungaran Barat,246927046,246927046
20320237,SMK MASEHI PSAK AMBARAWA,Swasta,,JL. PEMUDA NO.24 AMBARAWA KAB. SEMARANG RT 3 RW 1 Panjang Kode Pos 50614,Kab. Semarang,Kec. Ambarawa,591163,591163
20320238,SMK KANISIUS UNGARAN,Swasta,,JL. DIPONEGORO 101 UNGARAN KAB. SEMARANG RT 1 RW 3 Ungaran Kode Pos 50511,Kab. Semarang,Kec. Ungaran Barat,246922946,246922946
20320240,SMK ISLAM SUDIRMAN 1 AMBARAWA,Swasta,,"JL. YOS SUDARSO 18, PO.BOX. 101 AMBARAWA KAB. SEMARANG RT 0 RW 0 Kupang Kode Pos 50612",Kab. Semarang,Kec. Ambarawa,298592415,298592415
20320245,SMK BUDI DHARMA KALIWUNGU,Swasta,,JL.PAGER - SIMO KEC. KALIWUNGU KAB. SEMARANG RT 12 RW 4 PAGER Kode Pos 50778,Kab. Semarang,Kec. Kaliwungu,81329100197,
20320246,SMK Dr.TJIPTO AMBARAWA,Swasta,,RENGAS TAMBAKBOYO RT 1 RW 6 Tambakboyo Kode Pos 50661,Kab. Semarang,Kec. Ambarawa,298593113,298593113
20320247,SMK THERESIANA BANDUNGAN,Swasta,,JL. Dr. Cipto Mangunkusumo No. 1 Bandungan RT 4 RW 7 Bandungan Kode Pos 50665,Kab. Semarang,Kec. Bandungan,298711087,298711087
20320248,SMK SUWAKUL UNGARAN,Swasta,,JL. MERAPI NO.17 SUWAKUL UNGARAN KAB. SEMARANG RT 5 RW 7 Bandarjo Kode Pos 50517,Kab. Semarang,Kec. Ungaran Barat,246924565,
20320249,SMK NEGERI 1 BAWEN,Negeri,,JL. RA. KARTINI 119 BAWEN KABUPATEN SEMARANG RT 0 RW 0 Bawen Kode Pos 50661,Kab. Semarang,Kec. Bawen,298591284,298591284
20320250,SMK NU UNGARAN,Swasta,,JALAN KALIGARANG NO. 9 UNGARAN RT 8 RW 4 Ungaran Kode Pos 50511,Kab. Semarang,Kec. Ungaran Barat,246924034,246924034
20320251,SMK NEGERI  TENGARAN,Negeri,,"JL. DARUN NAIM, KARANGDUREN TENGARAN KAB. SEMARANG RT 5 RW 1 Karangduren Kode Pos 50775",Kab. Semarang,Kec. Tengaran,2983405144,2983405166
20320252,SMK NEGERI 1 BANCAK,Negeri,,JL. KH. WAHID HASYIM KM. 1 RT 2 RW 7 Boto Kode Pos 50182,Kab. Semarang,Kec. Bancak,2986031918,2986031918
20320253,SMK MUHAMMADIYAH UNGARAN,Swasta,,JL. SANJAYA NO.6 LANGENSARI UNGARAN KAB. SEMARANG RT 2 RW 5 Langensari Kode Pos 50518,Kab. Semarang,Kec. Ungaran Barat,246921612,
20320254,SMK MUHAMMADIYAH SUSUKAN,Swasta,,JL.SRUWEN-KARANGGEDE KM.17 RT 5 RW 5 Gentan Kode Pos 50777,Kab. Semarang,Kec. Susukan,2983419968,2983419968
20320255,SMK MUHAMMADIYAH SURUH,Swasta,,JL. RAYA SURUH NO. 79 KAB. SEMARANG RT 4 RW 6 Suruh Kode Pos 50776,Kab. Semarang,Kec. Suruh,298317122,298317182
20320256,SMK ISLAM SUDIRMAN UNGARAN,Swasta,,JL. MT. HARYONO NO.16 A UNGARAN RT 5 RW 9 Ungaran Kode Pos 50511,Kab. Semarang,Kec. Ungaran Barat,246923104,246923104
20320257,SMK ISLAM SUDIRMAN 2 AMBARAWA,Swasta,,JL. CEMPAKA NO. 3 KUPANG JETIS KAB. SEMARANG RT 3 RW 13 Kupang Kode Pos 50612,Kab. Semarang,Kec. Ambarawa,298591282,298591282
20321412,SMK PGRI KEDU,Swasta,,JL. RAYA KEDU NO. 75 RT 2 RW 2 Kedu Kode Pos 56252,Kab. Temanggung,Kec. Kedu,2934902306,
20321425,SMK NEGERI 1 TEMANGGUNG,Negeri,,JL. KADAR MARON RT 1 RW 1 Sidorejo Kode Pos 56221,Kab. Temanggung,Kec. Temanggung,2934901639,2934901639
20321426,SMK HKTI TEMANGGUNG,Swasta,,PERINTIS KEMERDEKAAN NO. 63 RT 0 RW 0 Jurang Kode Pos 56222,Kab. Temanggung,Kec. Temanggung,293493730,293493730
20321427,SMK DARUL FALACH CANDIROTO,Swasta,,JL. SIBAJAG KM 01 KLOMBEYAN RT 1 RW 3 MUNTUNG Kode Pos 56257,Kab. Temanggung,Kec. Candiroto,82335514126,
20321440,SMK MUHAMMADIYAH 1 TEMANGGUNG,Swasta,,JL. DR SUTOMO NO 288 RT 5 RW 1 Temanggung I Kode Pos 56212,Kab. Temanggung,Kec. Temanggung,293491431,293491431
20321441,SMK JENDERAL BAMBANG SUGENG,Swasta,,"JL. TEMBUS PRINGSURAT-KRANGGAN KM 0,5 RT 4 RW 5 Kranggan Kode Pos 56271",Kab. Temanggung,Kec. Kranggan,2934901292,
20321442,SMK DR. SUTOMO TEMANGGUNG,Swasta,,DR. SUTOMO NO.32 RT 1 RW 1 Temanggung I Kode Pos 56212,Kab. Temanggung,Kec. Temanggung,293491100,293491100
20321443,SMK AL MUMIN MUHAMMADIYAH TEMBARAK,Swasta,,IMAM SUBAWEH NO. 1 KAUMAN SELOPAMPANG RT 2 RW 2 Purwodadi Kode Pos 56262,Kab. Temanggung,Kec. Tembarak,29349023392,
20321445,SMK SWADAYA TEMANGGUNG,Swasta,,JL. GILINGSARI NO. 2 TEMANGGUNG RT 8 RW 1 Temanggung Ii Kode Pos 56213,Kab. Temanggung,Kec. Temanggung,293492338,293492338
20321446,SMK 17 PARAKAN,Swasta,,Jl. Aip mungkar Parakan RT 4 RW 8 Parakan Wetan Kode Pos 56254,Kab. Temanggung,Kec. Parakan,293596393,2935914815
20321447,SMK 17 TEMANGGUNG,Swasta,,Jl. Dr. Sutomo no. 36 Temanggung RT 4 RW 2 Temanggung I Kode Pos 56212,Kab. Temanggung,Kec. Temanggung,293491687,
20321448,SMK NEGERI 2 TEMANGGUNG,Negeri,,JALAN KARTINI 34 B RT 1 RW 5 Jampirejo Kode Pos 56215,Kab. Temanggung,Kec. Temanggung,491609,491513
20321829,SMKS NU 04 PATEBON,Swasta,,JL. PIDODO RAYA RT 9 RW 1 Pidodo Wetan Kode Pos 51351,Kab. Kendal,Kec. Patebon,294383512,294383512
20321830,SMKS BHAKTI PERSADA PATEBON,Swasta,,JL. SOEKARNO - HATTA RT 2 RW 3 Jambearum Kode Pos 51351,Kab. Kendal,Kec. Patebon,294384120,294384877
20321840,SMKS MUHAMMADIYAH 1 WELERI,Swasta,,JL. KH. AHMAD DAHLAN NO. 46 WELERI - KENDAL RT 1 RW 10 PENYANGKRINGAN Kode Pos 51355,Kab. Kendal,Kec. Weleri,294641497,294641497
20321841,SMKN 1 KENDAL,Negeri,,JL. SOEKARNO HATTA BARAT KM 03 KENDAL RT 1 RW 7 Purwokerto Kode Pos 51351,Kab. Kendal,Kec. Patebon,294381137,294381137
20321842,SMKS NU 01 KENDAL,Swasta,,JL. PEKAUMAN RT 1 RW 2 Pakauman Kode Pos 51313,Kab. Kendal,Kec. Kota Kendal,2943686427,2943686427
20321843,SMKS NU 03 KALIWUNGU,Swasta,,JL. SOEKARNO-HATTA RT 1 RW 3 KARANG TENGAH Kode Pos 51372,Kab. Kendal,Kec. Kaliwungu,2943686987,2943686987
20321844,SMKS MAARIF NU 02 ROWOSARI,Swasta,,JL. Taruna Wonotenggang RT 4 RW 2 Wonotenggang Kode Pos 51354,Kab. Kendal,Kec. Rowosari,2943641306,2943641306
20321845,SMKN 4 KENDAL,Negeri,,JL. RAYA SOEKARNO HATTA RT 0 RW 0 BRANGSONG Kode Pos 51371,Kab. Kendal,Kec. Brangsong,2945790761,2943687377
20321846,SMKN 3 KENDAL,Negeri,,JL. BOJA - LIMBANGAN KM. 1 RT 1 RW 4 Salamsari Kode Pos 51381,Kab. Kendal,Kec. Boja,294572623,294572623
20321847,SMKN 2 KENDAL,Negeri,,JL. Raya Soekarno - Hatta Barat Kendal RT 2 RW 8 Purwokerto Kode Pos 51351,Kab. Kendal,Kec. Patebon,294381163,294384892
20321848,SMKS MUHAMMADIYAH 4 SUKOREJO,Swasta,,"JL. TERMINAL BUS, NO. 2 RT 5 RW 5 Kebumen Kode Pos 51363",Kab. Kendal,Kec. Sukorejo,294452810,294452810
20321849,SMKS MUHAMMADIYAH 3 WELERI,Swasta,,JL. BAHARI NO. 345 WELERI RT 4 RW 1 Penaruban Kode Pos 51355,Kab. Kendal,Kec. Weleri,294641743,294642877
20321850,SMKS MUHAMMADIYAH 2 BOJA,Swasta,,JL. SEMARANG KM.1 Boja Kendal RT 3 RW 3 Tampingan Kode Pos 51381,Kab. Kendal,Kec. Boja,294572863,294572863
20321851,SMKS BHINNEKA PATEBON,Swasta,,JL. SOEKARNO HATTA PATEBON KENDAL RT 2 RW 2 Jambearum Kode Pos 51351,Kab. Kendal,Kec. Patebon,294381507,294381507
20321852,SMKS YPPM BOJA,Swasta,,JL RAYA BEBENGAN NO 122 RT 4 RW 6 BEBENGAN BOJA Kode Pos 51381,Kab. Kendal,Kec. Boja,294571149,294571299
20322709,SMKS NUSANTARA BATANG,Swasta,,JL. RE MARTADINATA NO. 305 RT 3 RW 5 Karangasem Utara Kode Pos 51213,Kab. Batang,Kec. Batang,285392651,285392651
20322710,SMKS NU BANDAR,Swasta,,JL. KARANGDOWO KM 1 SIDAYU BANDAR RT 1 RW 1 Sidayu Kode Pos 51254,Kab. Batang,Kec. Bandar,285689207,
20322711,SMK NEGERI 1 KANDEMAN,Negeri,,JL. RAYA KANDEMAN KM. 4 Kandeman - Batang RT 3 RW 4 Kandeman Kode Pos 51261,Kab. Batang,Kec. Kandeman,285392274,285392274
20322712,SMKS MUHAMMADIYAH BAWANG,Swasta,,JL. BAWANG SUKOREJO KM. 01 RT 4 RW 1 Jlamprang Kode Pos 51274,Kab. Batang,Kec. Bawang,2854486909,2854486909
20322713,SMKS BINTARA BATANG,Swasta,,Gajah Mada NO. 90 B Batang RT 5 RW 5 Proyonanggan Tengah Kode Pos 51211,Kab. Batang,Kec. Batang,85741944945,
20322714,SMKS BHAKTI PRAJA BATANG,Swasta,,JL. KI MANGUNSARKORO NO.45 RT 4 RW 1 Proyonanggan Selatan Kode Pos 51211,Kab. Batang,Kec. Batang,2854496582,2854493245
20322715,SMKS PGRI BATANG,Swasta,,JL. KI MANGUNSARKORO NO.25 RT 1 RW 2 PROYONANGGAN SELATAN Kode Pos 51211,Kab. Batang,Kec. Batang,285392634,285392634
20322727,SMK NEGERI 1 BATANG,Negeri,,JL. KI MANGUNSARKORO NO.2 BATANG RT 1 RW 3 PROYONANGGAN SELATAN Kode Pos 51211,Kab. Batang,Kec. Batang,285392031,285392031
20322728,SMKS MUHAMMADIYAH BATANG,Swasta,,Jl. Pemuda Selatan Gg. Talangan Cepokokuning Batang RT 4 RW 1 Cepokokuning Kode Pos 51223,Kab. Batang,Kec. Batang,3971184,
20323504,SMK MAARIF NU KAJEN,Swasta,,Jl. Pahlawan RT 6 RW 2 Rowolaku Kode Pos 51161,Kab. Pekalongan,Kec. Kajen,285381636,285381636
20323505,SMK MAARIF NU TIRTO,Swasta,,Jl. Wonoprojo No. 19 Pacar RT 0 RW 0 Pacar Kode Pos 51151,Kab. Pekalongan,Kec. Tirto,85866839426,2854414700
20323506,SMK MUHAMMADIYAH BLIGO,Swasta,,Sapugarut Gg. 7 Buaran RT 2 RW 4 Bligo Kode Pos 51171,Kab. Pekalongan,Kec. Buaran,4425132,4415132
20323507,SMK NU KESESI,Swasta,,Jl. Raya Kaibahan - Kajen RT 1 RW 3 Kaibahan Kode Pos 51162,Kab. Pekalongan,Kec. Kesesi,2854483098,2854483098
20323508,SMK YAPENDA 1 KEDUNGWUNI,Swasta,,Jl. Capgawen 103 Kedungwuni RT 0 RW 0 Kedungwuni Timur Kode Pos 51173,Kab. Pekalongan,Kec. Kedungwuni,2854482418,
20323509,SMK GONDANG,Swasta,,Kampus Pendidikan Islam Gondang RT 1 RW 1 Gondang Kode Pos 51181,Kab. Pekalongan,Kec. Wonopringgo,285784914,285784914
20323510,SMK MUHAMMADIYAH KAJEN,Swasta,,Jl. Pahlawan RT 2 RW 7 Kebonagung Kode Pos 51161,Kab. Pekalongan,Kec. Kajen,285381464,285381037
20323511,SMK NEGERI 1 KEDUNGWUNI,Negeri,,Jl. Paesan Utara RT 1 RW 5 Kedungwuni Barat Kode Pos 51173,Kab. Pekalongan,Kec. Kedungwuni,285785146,285785146
20323512,SMK YAPENDA 2 WIRADESA,Swasta,,Jl. Gumawang Baru No. 1 Wiradesa RT 3 RW 5 KAMPIL Kode Pos 51152,Kab. Pekalongan,Kec. Wiradesa,2854417091,2854417091
20324206,SMKS SATYA PRAJA 2 PETARUKAN,Swasta,,JL. RAYA ISER PETARUKAN RT 1 RW 3 Iser Kode Pos 52362,Kab. Pemalang,Kec. Petarukan,2843279529,2843279558
20324207,SMKS SATYA PRAJA 1 PETARUKAN,Swasta,,JL. RAYA ISER PETARUKAN RT 2 RW 3 Iser Kode Pos 52362,Kab. Pemalang,Kec. Petarukan,2843279530,2843279530
20324208,SMKS PGRI 1 TAMAN,Swasta,,JL. ABDUL WAHID HASYIM NO4 TAMAN KAB. PEMALANG RT 5 RW 4 Wanarejan Selatan Kode Pos 52361,Kab. Pemalang,Kec. Taman,284323158,284321864
20324209,SMKS BIMA PEMALANG,Swasta,,JL. MANDALA II/45 KAB. PEMALANG RT 4 RW 22 Mulyoharjo Kode Pos 52313,Kab. Pemalang,Kec. Pemalang,284323674,284323674
20324223,SMKS IDAMAN WARUNGPRING,Swasta,,JL. RAYA WARUNGPRING RANDUDONGKAL KAB. PEMALANG RT 23 RW 3 CIBUYUR Kode Pos 52358,Kab. Pemalang,Kec. Warungpring,0284-3285330,0284-3285330
20324224,SMKS ISLAM NUSANTARA COMAL,Swasta,,JL. RAYA SIDOREJO COMAL Km. 3 RT 4 RW 4 Sidorejo Kode Pos 52363,Kab. Pemalang,Kec. Comal,285577939,285577939
20324225,SMKS MUHAMMADIYAH 1 PEMALANG,Swasta,,JL. DR. CIPTO MANGUNKUSUMO 8 PEMALANG RT 2 RW 7 Bojongbata Kode Pos 52319,Kab. Pemalang,Kec. Pemalang,284322177,284322177
20324226,SMKS NUSANTARA 1 COMAL,Swasta,,JL. RAYA SIDOREJO COMAL KAB. PEMALANG RT 1 RW 6 SIDOREJO Kode Pos 52363,Kab. Pemalang,Kec. Comal,285577566,285577566
20324227,SMKN 1 AMPELGADING,Negeri,,"JL. RAYA UJUNGGEDE (PANTURA), Km. 15 RT 0 RW 0 UJUNGGEDE Kode Pos 52364",Kab. Pemalang,Kec. Ampelgading,2854474001,2854475590
20324228,SMKS MUHAMMADIYAH BELIK,Swasta,,JL. KH.AHMAD DAHLAN NO.50 B RT 9 RW 7 Belik Kode Pos 52356,Kab. Pemalang,Kec. Belik,2843285393,2843285393
20324229,SMKS ISLAM PEMALANG,Swasta,,JL. YOS SUDARSO NO.3 PEMALANG RT 7 RW 6 Pelutan Kode Pos 52311,Kab. Pemalang,Kec. Pemalang,284325676,284325676
20324230,SMKS BARUNA PUTRA PETARUKAN,Swasta,,JL. PEMUDA NO.46 PETARUKAN RT 3 RW 16 Petarukan Kode Pos 52362,Kab. Pemalang,Kec. Petarukan,2843279574,2843279574
20324231,SMKS ISLAM AL KHOIRIYAH PETARUKAN,Swasta,,JL RAYA DESA KLAREYAN KAB. PEMALANG RT 4 RW 2 Klareyan Kode Pos 52362,Kab. Pemalang,Kec. Petarukan,2843277246,
20324232,SMKS TUNAS KARYA COMAL,Swasta,,JL. RAYA SIDOREJO RT.7 RW.7 COMAL KAB. PEMALANG RT 7 RW 7 Purwoharjo Kode Pos 52363,Kab. Pemalang,Kec. Comal,285577885,0
20324233,SMKS TEXMACO PEMALANG,Swasta,,JL. PEMUDA NO.36 A KEL. MULYOHARJO KAB. PEMALANG RT 13 RW 1 Mulyoharjo Kode Pos 52313,Kab. Pemalang,Kec. Pemalang,284323070,284323070
20324235,SMKS PGRI 3 RANDUDONGKAL,Swasta,,JL. KI HAJAR DEWANTORO RANDUDONGKAL KAB. PEMALANG RT 62 RW 6 Randudongkal Kode Pos 52353,Kab. Pemalang,Kec. Randudongkal,284582224,
20324236,SMKS PGRI 2 TAMAN,Swasta,,JL. DR. WAHIDIN SUDIROHUSODO TAMAN KAB. PEMALANG RT 0 RW 0 Kaligelang Kode Pos 52361,Kab. Pemalang,Kec. Taman,284324812,284324812
20324238,SMKN 1 PEMALANG,Negeri,,JL. GATOT SUBROTO NO. 31 KAB. PEMALANG RT 2 RW 4 Bojongbata Kode Pos 52319,Kab. Pemalang,Kec. Pemalang,284321386,284323376
20324239,SMKS MUHAMMADIYAH ULUJAMI,Swasta,,JL. RAYA ROWOSARI ULUJAMI KAB. PEMALANG RT 1 RW 1 Rowosari Kode Pos 52371,Kab. Pemalang,Kec. Ulujami,4473026,4473026
20325246,SMKS MAARIF NU TALANG,Swasta,,RAYA TALANG NO 360 TALANG TEGAL RT 9 RW 2 Talang Kode Pos 52193,Kab. Tegal,Kec. Talang,445167,445167
20325247,SMK MAARIF NU MARGASARI,Swasta,,JL.RAYA SELATAN RT 3 RW 11 Margasari Kode Pos 52463,Kab. Tegal,Kec. Margasari,2833466055,2833466055
20325248,SMKS ISLAMIYAH ADIWERNA,Swasta,,JL. SINGKIL 234 ADIWERNA RT 22 RW 5 Adiwerna Kode Pos 52194,Kab. Tegal,Kec. Adiwerna,283442098,283445295
20325249,SMK DIPONEGORO LEBAKSIU,Swasta,,JL. RAYA DUKUHLO LEBAKSIU RT 1 RW 3 Dukuhlo Kode Pos 52461,Kab. Tegal,Kec. Lebaksiu,2836191154,0
20325250,SMKS BHAKTI PRAJA SLAWI,Swasta,,JL. MAYJEND SUTOYO RT 4 RW 4 Kagok Kode Pos 52411,Kab. Tegal,Kec. Slawi,2836196935,2836196935
20325251,SMKS BHAKTI PRAJA DUKUHWARU,Swasta,,RAYA BARAT DUKUH WARU RT 1 RW 1 Dukuhwaru Kode Pos 52451,Kab. Tegal,Kec. Dukuhwaru,2836196380,2836196222
20325252,SMKS BARUNA DUKUHWARU,Swasta,,JL.RAYA SLAWI-JATIBARANG KM 4 RT 6 RW 2 Gumayun Kode Pos 52451,Kab. Tegal,Kec. Dukuhwaru,2836196259,2836196259
20325253,SMK AL AMIRIYAH LEBAKSIU TEGAL,Swasta,,PONPES MISBAHUL HUDA RT 21 RW 4 KAMBANGAN Kode Pos 52461,Kab. Tegal,Kec. Lebaksiu,,
20325254,SMKS YPE NUSANTARA SLAWI,Swasta,,JL. LETJEN M.T. HARYONO SLAWI RT 1 RW 5 Kalisapu Kode Pos 52416,Kab. Tegal,Kec. Slawi,2836197632,2836197632
20325255,SMK NURUL ULUM LEBAKSIU,Swasta,,JL. KARANG MONCOL II LEBAKSIU LOR RT 3 RW 4 Lebaksiu Lor Kode Pos 52461,Kab. Tegal,Kec. Lebaksiu,2833466592,2833466592
20325256,SMKS NU 1 SLAWI,Swasta,,JL. A. YANI 20 Kel. Procot RT 1 RW 2 Procot Kode Pos 52412,Kab. Tegal,Kec. Slawi,283492695,283492695
20325257,SMK NU 1 ISLAMIYAH KRAMAT,Swasta,,JL. GARUDA NO.39 KEMANTRAN RT 5 RW 1 Kemantran Kode Pos 52181,Kab. Tegal,Kec. Kramat,2836144969,2836144969
20325258,SMKN 1 SLAWI,Negeri,,JL. H. Agus Salim Slawi RT 2 RW 2 Procot Kode Pos 52412,Kab. Tegal,Kec. Slawi,283491366,283491336
20325259,SMKS MUHAMMADIYAH ADIWERNA,Swasta,,JL. RAYA BARAT II UJUNGRUSI ADIWERNA KAB. TEGAL RT 30 RW 3 Ujungrusi Kode Pos 52194,Kab. Tegal,Kec. Adiwerna,2833448073,
20325260,SMK MUHAMMADIYAH KRAMAT,Swasta,,JL. GARUDA NO 9 RT 2 RW 2 KEMANTRAN Kode Pos 52181,Kab. Tegal,Kec. Kramat,2836144891,2836144891
20325261,SMKN 1 ADIWERNA,Negeri,,JL. RAYA 2 PO BOX 2 ADIWERNA RT 29 RW 7 Pesarean Kode Pos 52194,Kab. Tegal,Kec. Adiwerna,283443768,283445494
20325262,SMKN 1 BUMIJAWA,Negeri,,JL. WREDAMETA RT 7 RW 1 BUMIJAWA Kode Pos 52466,Kab. Tegal,Kec. Bumijawa,2833467244,2833467244
20325269,SMKS SUPM YAMIPURA SURADADI,Swasta,,JL. JANGKAR SURADADI KM.16 KEC. SURADADI KAB. TEGAL RT 0 RW 0 Suradadi Kode Pos 52182,Kab. Tegal,Kec. Suradadi,81542256402,
20325270,SMKN 2 SLAWI,Negeri,,"Jalan Jenderal Ahmad Yani, Slawi, Kabupaten Tegal, Kode Pos 52412 RT 3 RW 2 Procot Kode Pos 52412",Kab. Tegal,Kec. Slawi,283491284,283491284
20325271,SMKN 2 ADIWERNA,Negeri,,JL. ANGGREK UJUNGRUSI PO.BOX 2 RT 30 RW 3 UJUNGRUSI Kode Pos 52194,Kab. Tegal,Kec. Adiwerna,283442192,283442192
20325272,SMKS MUHAMMADIYAH SLAWI,Swasta,,JL. PROF. MOH.YAMIN SLAWI KAB. TEGAL RT 0 RW 0 Kudaile Kode Pos 52413,Kab. Tegal,Kec. Slawi,283491801,283491801
20325273,SMKS PERISTEK PANGKAH,Swasta,,JL. RAYA SELATAN 4 KALIKANGKUNG RT 1 RW 2 Kalikangkung Kode Pos 52471,Kab. Tegal,Kec. Pangkah,283445518,283445518
20325274,SMK NU HASYIM ASYARI TARUB,Swasta,,Jl. Raya Karangjati No. 25 Tarub RT 3 RW 1 Karangjati Kode Pos 52184,Kab. Tegal,Kec. Tarub,2833447864,3447742
20325275,SMKS NU 1 ADIWERNA,Swasta,,GANG KATES 5 NO. 47 TEMBOK BANJARAN ADIWERNA KAB. TEGAL RT 3 RW 1 Tembok Banjaran Kode Pos 52194,Kab. Tegal,Kec. Adiwerna,283445433,283445433
20325276,SMKN 1 WARUREJA,Negeri,,JL. KERTAMANA SIGENTONG RT 0 RW 0 SIGENTONG Kode Pos 52183,Kab. Tegal,Kec. Warureja,81911664141,
20325277,SMKS BHAKTI PRAJA TALANG,Swasta,,JL. RAYA PEGIRIKAN-TALANG KAB. TEGAL RT 0 RW 0 Pegirikan Kode Pos 52193,Kab. Tegal,Kec. Talang,283442563,283442563
20325278,SMK BHAKTI PRAJA MARGASARI,Swasta,,JL. LUGU MARGASARI RT 2 RW 4 Margasari Kode Pos 52463,Kab. Tegal,Kec. Margasari,2834690833,2834690833
20326420,SMKS AL FURQON BANTARKAWUNG,Swasta,,JL. RAYA BANTARKAWUNG BREBES RT 9 RW 3 Bantarkawung Kode Pos 52274,Kab. Brebes,Kec. Bantarkawung,2894311151,
20326421,SMK AL-MAARIF BUMIAYU,Swasta,,JALAN JEND. SUDIRMAN KM. 4 NO. 17 BUMIAYU RT 9 RW 1 Kaliwadas Kode Pos 52273,Kab. Brebes,Kec. Bumiayu,289430711,
20326422,SMKS ISLAM ANNUR LOSARI,Swasta,,JL. K.H. WAHID HASYIM NO. 6 RT 0 RW 0 Karangjunti Kode Pos 52255,Kab. Brebes,Kec. Losari,81902161319,0
20326423,SMKS KARYA BHAKTI BREBES,Swasta,,JL. TAMAN SISWA NO. 1 BREBES RT 5 RW 1 Brebes Kode Pos 52212,Kab. Brebes,Kec. Brebes,283671284,283671284
20326424,SMKS KERABAT KITA BUMIAYU,Swasta,,JL. K.H. AHMAD DAHLAN NO. 2 RT 6 RW 2 Kalierang Kode Pos 52273,Kab. Brebes,Kec. Bumiayu,289432254,289432254
20326425,SMKS MAARIF NU PAGUYANGAN,Swasta,,JL. RAYA WINDUAJI PAGUYANGAN RT 10 RW 5 Winduaji Kode Pos 52276,Kab. Brebes,Kec. Paguyangan,2894311670,
20326426,SMKS MUHAMMADIYAH 1 SIRAMPOG,Swasta,,JL. RAYA MANGGIS - SIRAMPOG RT 1 RW 1 Kaliloka Kode Pos 52272,Kab. Brebes,Kec. Sirampog,81326896586,0
20326427,SMKN 1 BREBES,Negeri,,JL. DR. SETIABUDI NO. 17 BREBES RT 3 RW 1 Brebes Kode Pos 52212,Kab. Brebes,Kec. Brebes,283671625,283671625
20326428,SMKS AL HIKMAH 2 SIRAMPOG,Swasta,,JL. MASJID JAMI BENDA RT 2 RW 3 Benda Kode Pos 52272,Kab. Brebes,Kec. Sirampog,289430910,289432566
20326429,SMKS AL FALAH SONGGOM BREBES,Swasta,,JL. JEMBATAN PAGER AYU RT 0 RW 0 Jatirokeh Kode Pos 52266,Kab. Brebes,Kec. Songgom,8156938674,
20326438,SMKS NURUL HUDA NU PAGUYANGAN,Swasta,,JL. RAYA PTP NUSANTARA IX KALIGUA-PASANGGRAHAN-KRETEK-PAGUYANGAN RT 3 RW 1 Kretek Kode Pos 52276,Kab. Brebes,Kec. Paguyangan,81328145904,
20326439,SMKS PUSPONEGORO JATIBARANG,Swasta,,JL. RAYA SELATAN JUR. MARGASARI JATIBARANG KIDUL JATIBARANG - BREBES RT 3 RW 4 Jatibarang Kidul Kode Pos 52261,Kab. Brebes,Kec. Jatibarang,2836185259,
